vehicle_id,num_stops_including_depot,route_distance_m,route
0,38,29409,depot -> 127 -> 110 -> 161 -> 157 -> 138 -> 140 -> 15 -> 131 -> 169 -> 205 -> 204 -> 192 -> 175 -> 132 -> 188 -> 145 -> 196 -> 100 -> 202 -> 165 -> 123 -> 160 -> 151 -> 177 -> 118 -> 189 -> 12 -> 129 -> 113 -> 14 -> 198 -> 150 -> 139 -> 180 -> 168 -> 162 -> depot
1,36,25139,depot -> 158 -> 121 -> 197 -> 112 -> 182 -> 137 -> 166 -> 111 -> 159 -> 148 -> 116 -> 142 -> 133 -> 2 -> 143 -> 20 -> 176 -> 183 -> 16 -> 114 -> 19 -> 108 -> 167 -> 185 -> 153 -> 206 -> 199 -> 181 -> 144 -> 104 -> 191 -> 194 -> 170 -> 1 -> depot
2,52,36256,depot -> 124 -> 193 -> 134 -> 184 -> 18 -> 11 -> 106 -> 103 -> 136 -> 117 -> 154 -> 120 -> 201 -> 173 -> 203 -> 102 -> 107 -> 119 -> 128 -> 141 -> 186 -> 125 -> 149 -> 178 -> 122 -> 156 -> 146 -> 152 -> 147 -> 195 -> 179 -> 115 -> 200 -> 155 -> 135 -> 109 -> 101 -> 171 -> 190 -> 105 -> 130 -> 163 -> 10 -> 17 -> 187 -> 13 -> 164 -> 174 -> 126 -> 172 -> depot
